metro_city,income_bin,total_zips
Chicago,0,1
Chicago,15000,2
Chicago,20000,3
Chicago,25000,6
Chicago,30000,11
Chicago,35000,8
Chicago,40000,15
Chicago,45000,11
Chicago,50000,15
Chicago,55000,18
Chicago,60000,17
Chicago,65000,9
Chicago,70000,16
Chicago,75000,17
Chicago,80000,11
Chicago,85000,8
Chicago,90000,8
Chicago,95000,10
Chicago,100000,13
Chicago,105000,5
Chicago,110000,4
Chicago,115000,1
Chicago,120000,1
Chicago,135000,2
Chicago,140000,2
Chicago,145000,1
Chicago,150000,1
Chicago,165000,2
Chicago,170000,1
Chicago,175000,1
Chicago,200000,2
Dallas,0,3
Dallas,15000,1
Dallas,25000,6
Dallas,30000,5
Dallas,35000,9
Dallas,40000,18
Dallas,45000,11
Dallas,50000,14
Dallas,55000,11
Dallas,60000,10
Dallas,65000,9
Dallas,70000,8
Dallas,75000,5
Dallas,80000,13
Dallas,85000,11
Dallas,90000,6
Dallas,95000,5
Dallas,100000,4
Dallas,105000,1
Dallas,110000,1
Dallas,115000,4
Dallas,120000,4
Dallas,125000,2
Dallas,135000,1
Dallas,155000,1
Dallas,160000,1
Dallas,170000,1
Dallas,205000,1
Houston,0,4
Houston,25000,6
Houston,30000,12
Houston,35000,12
Houston,40000,15
Houston,45000,13
Houston,50000,10
Houston,55000,10
Houston,60000,8
Houston,65000,12
Houston,70000,7
Houston,75000,5
Houston,80000,6
Houston,85000,6
Houston,90000,5
Houston,95000,9
Houston,100000,6
Houston,105000,2
Houston,110000,3
Houston,115000,2
Houston,120000,1
Houston,125000,2
Houston,135000,2
Houston,155000,1
Houston,170000,1
Houston,180000,1
Houston,250000,1
Los Angeles,0,14
Los Angeles,10000,1
Los Angeles,15000,1
Los Angeles,20000,3
Los Angeles,25000,1
Los Angeles,30000,11
Los Angeles,35000,14
Los Angeles,40000,27
Los Angeles,45000,15
Los Angeles,50000,26
Los Angeles,55000,23
Los Angeles,60000,25
Los Angeles,65000,23
Los Angeles,70000,17
Los Angeles,75000,15
Los Angeles,80000,22
Los Angeles,85000,13
Los Angeles,90000,15
Los Angeles,95000,13
Los Angeles,100000,9
Los Angeles,105000,3
Los Angeles,110000,3
Los Angeles,115000,1
Los Angeles,120000,5
Los Angeles,135000,3
Los Angeles,140000,2
Los Angeles,145000,2
Los Angeles,150000,1
Los Angeles,155000,3
Los Angeles,160000,1
Los Angeles,180000,2
New York,0,43
New York,20000,3
New York,25000,16
New York,30000,9
New York,35000,20
New York,40000,14
New York,45000,22
New York,50000,23
New York,55000,30
New York,60000,22
New York,65000,33
New York,70000,17
New York,75000,21
New York,80000,26
New York,85000,21
New York,90000,32
New York,95000,13
New York,100000,27
New York,105000,27
New York,110000,21
New York,115000,22
New York,120000,22
New York,125000,15
New York,130000,9
New York,135000,7
New York,140000,7
New York,145000,9
New York,150000,8
New York,155000,5
New York,160000,6
New York,165000,2
New York,170000,2
New York,175000,5
New York,180000,2
New York,185000,2
New York,190000,1
New York,195000,2
New York,240000,1
