metro_city,student_population_bin,count
Chicago,0,2
Chicago,1,1
Chicago,2,4
Chicago,3,1
Chicago,4,1
Chicago,5,3
Chicago,6,1
Chicago,7,2
Chicago,8,4
Chicago,9,2
Chicago,10,3
Chicago,11,4
Chicago,12,8
Chicago,13,9
Chicago,14,25
Chicago,15,21
Chicago,16,28
Chicago,17,31
Chicago,18,17
Chicago,19,19
Chicago,20,15
Chicago,21,5
Chicago,22,6
Chicago,23,4
Chicago,24,3
Chicago,25,1
Chicago,27,2
Dallas,0,2
Dallas,1,1
Dallas,2,1
Dallas,4,1
Dallas,5,1
Dallas,6,2
Dallas,7,2
Dallas,8,1
Dallas,9,1
Dallas,10,1
Dallas,11,5
Dallas,12,3
Dallas,13,3
Dallas,14,6
Dallas,15,6
Dallas,16,12
Dallas,17,13
Dallas,18,13
Dallas,19,17
Dallas,20,14
Dallas,21,15
Dallas,22,18
Dallas,23,12
Dallas,24,4
Dallas,25,8
Dallas,26,1
Dallas,28,1
Houston,0,2
Houston,1,1
Houston,5,5
Houston,6,1
Houston,8,2
Houston,9,1
Houston,10,2
Houston,11,3
Houston,12,3
Houston,13,5
Houston,14,4
Houston,15,3
Houston,16,4
Houston,17,15
Houston,18,15
Houston,19,17
Houston,20,26
Houston,21,16
Houston,22,13
Houston,23,13
Houston,24,5
Houston,25,2
Houston,26,1
Houston,30,1
Los Angeles,0,5
Los Angeles,1,2
Los Angeles,2,1
Los Angeles,3,3
Los Angeles,4,2
Los Angeles,5,5
Los Angeles,6,2
Los Angeles,7,9
Los Angeles,8,1
Los Angeles,9,6
Los Angeles,10,11
Los Angeles,11,15
Los Angeles,12,20
Los Angeles,13,19
Los Angeles,14,27
Los Angeles,15,39
Los Angeles,16,39
Los Angeles,17,25
Los Angeles,18,28
Los Angeles,19,17
Los Angeles,20,11
Los Angeles,21,5
Los Angeles,22,6
Los Angeles,23,4
Los Angeles,25,1
Los Angeles,30,2
New York,0,7
New York,1,1
New York,2,2
New York,3,4
New York,4,4
New York,5,4
New York,6,4
New York,7,3
New York,8,13
New York,9,9
New York,10,25
New York,11,19
New York,12,30
New York,13,45
New York,14,57
New York,15,75
New York,16,54
New York,17,42
New York,18,47
New York,19,24
New York,20,21
New York,21,17
New York,22,11
New York,23,3
New York,24,5
New York,25,4
New York,26,2
New York,27,2
New York,28,1
New York,31,1
