metro_city,zip,percent_of_students,median_income,overall_rank
Chicago,60426,23.01,25705,1
Chicago,60624,21.37,22467,2
Chicago,60623,23.05,31445,3
Chicago,46312,22.21,30205,4
Chicago,60469,24.74,37885,5
Dallas,75212,25.35,30673,1
Dallas,75217,25.17,35282,2
Dallas,76105,23.54,28843,3
Dallas,75253,25.14,41905,4
Dallas,76119,22.9,34333,5
Dallas,75180,26.19,44228,5
Dallas,75227,24.67,41240,5
Houston,77032,30.27,30451,1
Houston,77060,23.33,28948,2
Houston,77039,24.87,34608,3
Houston,77078,24.31,35770,4
Houston,77076,23.65,34842,5
Los Angeles,90058,30.92,16425,1
Los Angeles,90011,23.8,33824,2
Los Angeles,90002,23.33,34000,3
Los Angeles,90033,22.1,31683,4
Los Angeles,90003,23.36,34397,4
New York,10454,22.38,21542,1
New York,10474,22.03,25896,2
New York,7108,21.2,25192,3
New York,7055,23.21,34958,4
New York,10452,21.36,27206,5
