Date,S_and_P_Comp_P,Dividend_D,Earnings_E,Consumer_Price_Index_CPI,Date_Fraction,Long_Interest_Rate_GS10,Real_Price,Real_Dividend, Real_Total_Return_Price ,Real_Earnings, Real_TR_Scaled_Earnings ,Monthly_Total_Bond_Returns,Real_Total_Bond_Returns,10_Year_Annualized_Stock_Real_Return,10_Year_Annualized_Bond_Real_Return,Real_10_Year_Excess_Annualized_Returns
1871.01,4.44,0.26,0.4,12.46,1871.04,5.32,96.47,5.65,96.47,8.69,8.69,1,1,13.06%,9.25%,3.81%
1871.02,4.5,0.26,0.4,12.84,1871.13,5.32,94.87,5.48,95.33,8.43,8.47,1,0.97,13.09%,9.46%,3.62%
1871.03,4.61,0.26,0.4,13.03,1871.21,5.33,95.77,5.4,96.69,8.31,8.39,1,0.96,13.10%,9.62%,3.48%
1871.04,4.74,0.26,0.4,12.56,1871.29,5.33,102.2,5.61,103.65,8.62,8.75,1,1,12.21%,9.10%,3.11%
1871.05,4.86,0.26,0.4,12.27,1871.38,5.33,107.23,5.74,109.23,8.83,8.99,1,1.03,12.26%,8.95%,3.31%
1871.06,4.82,0.26,0.4,12.08,1871.46,5.34,108.02,5.83,110.53,8.96,9.17,1,1.05,12.31%,8.77%,3.54%
1871.07,4.73,0.26,0.4,12.08,1871.54,5.34,106,5.83,108.96,8.96,9.21,1,1.06,12.00%,8.66%,3.34%
1871.08,4.79,0.26,0.4,11.89,1871.63,5.34,109.07,5.92,112.62,9.11,9.4,1,1.08,11.19%,8.27%,2.93%
1871.09,4.84,0.26,0.4,12.18,1871.71,5.35,107.62,5.78,111.63,8.89,9.23,1,1.06,11.00%,8.10%,2.90%
1871.1,4.59,0.26,0.4,12.37,1871.79,5.35,100.49,5.69,104.72,8.76,9.13,1,1.05,11.48%,8.17%,3.31%
1871.11,4.64,0.26,0.4,12.37,1871.88,5.35,101.59,5.69,106.36,8.76,9.17,1,1.05,11.53%,8.26%,3.27%
1871.12,4.74,0.26,0.4,12.65,1871.96,5.36,101.43,5.56,106.69,8.56,9,1,1.03,11.21%,8.50%,2.71%
1872.01,4.86,0.26,0.4,12.65,1872.04,5.36,104,5.63,109.88,8.61,9.1,1,1.04,10.77%,8.49%,2.28%
1872.02,4.88,0.27,0.41,12.65,1872.13,5.38,104.43,5.71,110.83,8.67,9.2,1,1.04,10.38%,8.39%,1.98%
1872.03,5.04,0.27,0.41,12.84,1872.21,5.4,106.26,5.69,113.28,8.59,9.16,1,1.03,10.17%,8.55%,1.62%
1872.04,5.18,0.27,0.41,13.13,1872.29,5.42,106.83,5.64,114.39,8.46,9.05,1,1.01,10.01%,8.69%,1.32%
1872.05,5.18,0.28,0.41,13.13,1872.38,5.43,106.83,5.71,114.9,8.51,9.15,1,1.01,9.78%,8.59%,1.19%
1872.06,5.13,0.28,0.42,13.03,1872.46,5.45,106.58,5.82,115.14,8.62,9.31,1,1.02,9.65%,8.41%,1.24%
1872.07,5.1,0.28,0.42,12.84,1872.54,5.47,107.52,5.97,116.71,8.8,9.55,1,1.04,10.25%,8.35%,1.90%
1872.08,5.04,0.29,0.42,12.94,1872.63,5.49,105.48,6,115.03,8.79,9.59,1,1.04,10.68%,8.32%,2.36%
1872.09,4.95,0.29,0.42,13.03,1872.71,5.51,102.84,6.02,112.7,8.78,9.62,1,1.03,11.37%,8.70%,2.67%
1872.1,4.97,0.29,0.43,12.75,1872.79,5.53,105.56,6.23,116.25,9.03,9.94,1,1.06,10.87%,8.56%,2.31%
1872.11,4.95,0.3,0.43,13.13,1872.88,5.54,102.09,6.12,112.99,8.82,9.76,1,1.03,10.86%,8.98%,1.88%
1872.12,5.07,0.3,0.43,12.94,1872.96,5.56,106.1,6.28,118.01,9,10.01,1,1.05,10.59%,8.92%,1.67%
